Delta fr 0°	Delta fr err 0°	Delta n_s 0°	Delta n_s 0° err	Delta fr 45°	Delta fr err 45°	Delta n_s 45°	Delta n_s 45° err	Delta fr 90°	Delta fr err 90°	Delta n_s 90°	Delta n_s 90° err	Delta fr 135°	Delta fr err 135°	Delta n_s 135°	Delta n_s 135° err	fields 0°	fields 45°	fields 90°	fields 135°			
-9.81594494545574E-4	2.29727210301808E-5	-0.00249587102315684	5.83816512473155E-5	-0.00508273643387372	3.20459864968771E-5	-0.0128687255830999	8.07322288870061E-5	-0.0101149458665749	4.70228103436603E-5	-0.0254748559551275	1.17325297812493E-4	-0.00494360763120957	5.10143157800292E-5	-0.0125178911419781	1.2852341522519E-4	0.1	0.1	0.1	0.1			
-0.00100883733145133	2.32684199086665E-5	-0.00256506756770432	5.91298099288766E-5	-0.00505723587049723	4.6472632626859E-5	-0.0128045023248505	1.17062752297541E-4	-0.00994190725699366	4.83915126880724E-5	-0.0250435556365912	1.20773424335597E-4	-0.00405166040800061	6.10382258831469E-5	-0.0102689036381908	1.54056777475576E-4	0.105	0.105	0.105	0.105			
-0.00102228794670314	2.31275090088891E-5	-0.00259923054876954	5.87708384161125E-5	-0.00628725630896548	8.11068729386967E-5	-0.0158984228093082	2.03762577379225E-4	-0.0102248856015549	4.58824717597237E-5	-0.0257488009709245	1.14462337688989E-4	-0.00852343618143986	6.23476093893195E-5	-0.021502205665893	1.55909908622116E-4	0.11	0.11	0.11	0.11			
-0.0011055917666277	2.46133928664371E-5	-0.00281079106579946	6.25343568852441E-5	-0.00799284989097073	5.82367365846895E-5	-0.0201754552256159	1.45800380566584E-4	-0.0106207414302537	4.37133372811957E-5	-0.0267346647804713	1.08981119923644E-4	-0.00828422698818714	6.13263627773441E-5	-0.0209039502250957	1.53432719882552E-4	0.115	0.115	0.115	0.115			
-0.00113889351652028	2.38756394957432E-5	-0.00289535473956825	6.0658597914472E-5	-0.0086098633442365	4.57771789991079E-5	-0.021718965723307	1.14472664305346E-4	-0.0103340344858498	4.70036152132701E-5	-0.0260207132926232	1.17226988380017E-4	-0.00934399099901982	5.96759184385296E-5	-0.0235521246826993	1.48977457763323E-4	0.12	0.12	0.12	0.12			
-0.00117659426101181	2.34819537122112E-5	-0.00299108174945999	5.96558956094806E-5	-0.00825048558434343	4.44834061249535E-5	-0.020820193834585	1.11321244067146E-4	-0.0100454939186685	4.05372722450114E-5	-0.0253017650221617	1.01199119135382E-4	-0.00994000020152669	5.13667939786346E-5	-0.0250388848049408	1.28083189628518E-4	0.125	0.125	0.125	0.125			
-0.00115049137780726	2.27861431356369E-5	-0.00292480399523168	5.7892637960574E-5	-0.00938968624205402	4.72900537311479E-5	-0.0236669191794804	1.18064386953592E-4	-0.0100492457495913	3.52971573096157E-5	-0.0253111161258928	8.8162107031615E-5	-0.00957032452370755	4.54697175453375E-5	-0.0241169369227093	1.13471690763543E-4	0.13	0.13	0.13	0.13			
-0.00121945139135768	2.33424235810831E-5	-0.00309989232292174	5.92977828349754E-5	-0.0090941251901637	5.13608780357172E-5	-0.0229289970342131	1.28300336026604E-4	-0.0099616182074184	3.4583548596349E-5	-0.025092693210005	8.64015137894884E-5	-0.009912581118548	4.86515093538352E-5	-0.0249705277210012	1.21322409121115E-4	0.135	0.135	0.135	0.135			
-0.00121696943043723	2.29694307197113E-5	-0.0030935911031267	5.83516414317846E-5	-0.00990586822145809	3.99606292635306E-5	-0.0249545720180504	9.96715129388404E-5	-0.00998717842791332	4.33563367354375E-5	-0.0251564094663239	1.08227103452355E-4	-0.0100278904071389	3.71649034266213E-5	-0.0252579729632931	9.26718621168525E-5	0.14	0.14	0.14	0.14			
-0.0013083180751814	2.27982283726914E-5	-0.003325486150475	5.79089636723383E-5	-0.00940539542712211	3.61056677433399E-5	-0.0237061273066486	9.01563055637431E-5	-0.0099012862567681	3.59160845786775E-5	-0.0249422848802036	8.97265102172634E-5	-0.00978210816904156	3.80569124453665E-5	-0.0246451989051399	9.49420673004476E-5	0.145	0.145	0.145	0.145			
