	25 mT delta fr	25 mT delta fr err	25 mT delta ns	25 mT delta ns err	50 mT delta fr	50 mT delta fr err	50 mT delta ns	50 mT delta ns err	75 mT delta fr	75 mT delta fr err	75 mT delta ns	75 mT delta ns err	100 mT delta fr	100 mT delta fr err	100 mT delta ns	100 mT delta ns err	
300	-3.97283998432547E-4	1.74003265754683E-5	-0.00124645562543282	5.45699895931796E-5	-0.00184151541001681	1.03132646437579E-4	-0.00575950648974009	3.21642326619054E-4	-0.00844578007678697	0.00112902744905165	-0.0261160157463767	0.00344353356975966	-0.0108665256999297	0.00105461822839257	-0.0334566939922171	0.00319026842693255	300
315	-4.22864566992638E-4	1.63286302627214E-5	-0.00132665757411826	5.12072451228455E-5	-0.00187672141838124	9.15843814082691E-5	-0.00586927903546244	2.85608050305686E-4	-0.00803656806822426	0.00114613759078371	-0.0248671034509365	0.00350035306416952	-0.0106561902141561	0.0010609045447493	-0.0328202140333102	0.0032114621480685	305
330	-3.45574209638849E-4	1.54397960704522E-5	-0.00108431102199339	4.84308947150631E-5	-0.00181238046981832	5.51351817482834E-5	-0.00566865402302571	1.72040470820112E-4	-0.00631406676321784	0.00120068969064945	-0.0195918422846634	0.00368748787789975	-0.0109797502180789	0.0010649807371651	-0.0337991351528042	0.00322043838422078	307.5
345	-3.01336477269325E-4	1.67062913789835E-5	-9.45574475320518E-4	5.24076606764569E-5	-0.00185060265644793	8.44583388089638E-5	-0.00578784178759049	2.63417183753245E-4	-0.00539648610105034	0.00116373155429638	-0.0167696374969749	0.00358464852857011	-0.0108213485549754	0.00106956928238324	-0.033320023350249	0.00323596601828043	310
360	-1.71149935663329E-4	1.77501040835177E-5	-5.37172090102979E-4	5.5700441946723E-5	-0.00188770522228388	1.00869725511861E-4	-0.00590352401823791	3.14541321792458E-4	-0.00146527055030227	5.27345047591266E-5	-0.00458257036292202	1.64654173265347E-4	-0.00996192811605682	0.0011243984619318	-0.0307162913937219	0.00341129301373421	312.5
													-0.0019175406723754	9.09712435015218E-5	-0.00599653791078288	2.8366038713212E-4																									315
													-0.00184848323960286	4.33047136287824E-5	-0.00578123322640462	1.35161958368818E-4																									317.5
													-0.001898985129541	8.97197086211886E-5	-0.00593869090451674	2.79776070603268E-4																									320
													-0.00182633674420612	9.57619275876293E-5	-0.00571217542324626	2.98677658315741E-4																									330
													-8.78195604774818E-4	6.54772006517149E-5	-0.00275096337350493	2.04855961807799E-4																									360
